time,running,percent,total,covered
95000,1,0.94,18,17
96000,1,0.94,18,17
97000,1,0.94,18,17
98000,1,0.94,18,17
99000,1,0.94,18,17
100000,1,0.94,18,17
101000,1,0.94,18,17
102000,1,0.94,18,17
103000,1,0.94,18,17
104000,1,0.94,18,17
105000,1,0.94,18,17
106000,1,0.94,18,17
107000,1,0.94,18,17
108000,1,0.94,18,17
109000,1,0.94,18,17
110000,1,0.94,18,17
111000,1,0.94,18,17
112000,1,0.94,18,17
113000,1,0.94,18,17
114000,1,0.94,18,17
115000,1,0.94,18,17
116000,1,0.94,18,17
117000,1,0.94,18,17
118000,1,0.94,18,17
119000,1,0.94,18,17
120000,1,0.94,18,17
121000,1,0.94,18,17
122000,1,0.94,18,17
123000,1,0.94,18,17
124000,1,0.94,18,17
125000,1,0.94,18,17
126000,1,0.94,18,17
127000,1,0.94,18,17
128000,1,0.94,18,17
129000,1,0.94,18,17
130000,1,0.94,18,17
131000,1,0.94,18,17
132000,1,0.94,18,17
133000,1,0.94,18,17
134000,1,0.94,18,17
135000,1,0.94,18,17
136000,1,0.94,18,17
137000,1,0.94,18,17
138000,1,0.94,18,17
139000,1,0.94,18,17
140000,1,0.94,18,17
141000,1,0.94,18,17
142000,1,0.94,18,17
143000,1,0.94,18,17
144000,1,0.94,18,17
145000,1,0.94,18,17
146000,1,0.94,18,17
147000,1,0.94,18,17
148000,1,0.94,18,17
149000,1,0.94,18,17
150000,1,0.94,18,17
151000,1,0.94,18,17
152000,1,0.94,18,17
153000,1,0.94,18,17
154000,1,0.94,18,17
155000,1,0.94,18,17
156000,1,0.94,18,17
157000,1,0.94,18,17
158000,1,0.94,18,17
159000,1,0.94,18,17
160000,1,0.94,18,17
161000,1,0.94,18,17
162000,1,0.94,18,17
163000,1,0.94,18,17
164000,1,0.94,18,17
165000,1,0.94,18,17
166000,1,0.94,18,17
167000,1,0.94,18,17
168000,1,0.94,18,17
169000,1,0.94,18,17
170000,1,0.94,18,17
171000,1,0.94,18,17
172000,1,0.94,18,17
173000,1,0.94,18,17
174000,1,0.94,18,17
175000,1,0.94,18,17
176000,1,0.94,18,17
177000,1,0.94,18,17
178000,1,0.94,18,17
179000,1,0.94,18,17
180000,1,0.94,18,17
181000,1,0.94,18,17
182000,1,0.94,18,17
183000,1,0.94,18,17
184000,1,0.94,18,17
185000,1,0.94,18,17
186000,1,0.94,18,17
187000,1,0.94,18,17
188000,1,0.94,18,17
189000,1,0.94,18,17
190000,1,0.94,18,17
191000,1,0.94,18,17
192000,1,0.94,18,17
193000,1,0.94,18,17
194000,1,0.94,18,17
195000,1,0.94,18,17
196000,1,0.94,18,17
197000,1,0.94,18,17
198000,1,0.94,18,17
199000,1,0.94,18,17
200000,1,0.94,18,17
201000,1,0.94,18,17
202000,1,0.94,18,17
203000,1,0.94,18,17
204000,1,0.94,18,17
205000,1,0.94,18,17
206000,1,0.94,18,17
207000,1,0.94,18,17
208000,1,0.94,18,17
209000,1,0.94,18,17
210000,1,0.94,18,17
211000,1,0.94,18,17
212000,1,0.94,18,17
213000,1,0.94,18,17
214000,1,0.94,18,17
215000,1,0.94,18,17
216000,1,0.94,18,17
217000,1,0.94,18,17
218000,1,0.94,18,17
219000,1,0.94,18,17
220000,1,0.94,18,17
221000,1,0.94,18,17
222000,1,0.94,18,17
223000,1,0.94,18,17
224000,1,0.94,18,17
225000,1,0.94,18,17
226000,1,0.94,18,17
227000,1,0.94,18,17
228000,1,0.94,18,17
229000,1,0.94,18,17
230000,1,0.94,18,17
231000,1,0.94,18,17
232000,1,0.94,18,17
233000,1,0.94,18,17
234000,1,0.94,18,17
235000,1,0.94,18,17
236000,1,0.94,18,17
237000,1,0.94,18,17
238000,1,0.94,18,17
239000,1,0.94,18,17
240000,1,0.94,18,17
241000,1,0.94,18,17
242000,1,0.94,18,17
243000,1,0.94,18,17
244000,1,0.94,18,17
245000,1,0.94,18,17
246000,1,0.94,18,17
247000,1,0.94,18,17
248000,1,0.94,18,17
249000,1,0.94,18,17
250000,1,0.94,18,17
251000,1,0.94,18,17
252000,1,0.94,18,17
253000,1,0.94,18,17
254000,1,0.94,18,17
255000,1,0.94,18,17
256000,1,0.94,18,17
257000,1,0.94,18,17
258000,1,0.94,18,17
259000,1,0.94,18,17
260000,1,0.94,18,17
261000,1,0.94,18,17
262000,1,0.94,18,17
263000,1,0.94,18,17
264000,1,0.94,18,17
265000,1,0.94,18,17
266000,1,0.94,18,17
267000,1,0.94,18,17
268000,1,0.94,18,17
269000,1,0.94,18,17
270000,1,0.94,18,17
271000,1,0.94,18,17
272000,1,0.94,18,17
273000,1,0.94,18,17
274000,1,0.94,18,17
275000,1,0.94,18,17
276000,1,0.94,18,17
277000,1,0.94,18,17
278000,1,0.94,18,17
279000,1,0.94,18,17
280000,1,0.94,18,17
281000,1,0.94,18,17
282000,1,0.94,18,17
283000,1,0.94,18,17
284000,1,0.94,18,17
285000,1,0.94,18,17
286000,1,0.94,18,17
287000,1,0.94,18,17
288000,1,0.94,18,17
289000,1,0.94,18,17
290000,1,0.94,18,17
291000,1,0.94,18,17
292000,1,0.94,18,17
293000,1,0.94,18,17
294000,1,0.94,18,17
295000,1,0.94,18,17
296000,1,0.94,18,17
297000,1,0.94,18,17
298000,1,0.94,18,17
299000,1,0.94,18,17
300000,1,0.94,18,17
301000,1,0.94,18,17
302000,1,0.94,18,17
303000,1,0.94,18,17
304000,1,0.94,18,17
305000,1,0.94,18,17
306000,1,0.94,18,17
307000,1,0.94,18,17
308000,1,0.94,18,17
309000,1,0.94,18,17
310000,1,0.94,18,17
311000,1,0.94,18,17
312000,1,0.94,18,17
313000,1,0.94,18,17
314000,1,0.94,18,17
315000,1,0.94,18,17
316000,1,0.94,18,17
317000,1,0.94,18,17
318000,1,0.94,18,17
319000,1,0.94,18,17
320000,1,0.94,18,17
321000,1,0.94,18,17
322000,1,0.94,18,17
323000,1,0.94,18,17
324000,1,0.94,18,17
325000,1,0.94,18,17
326000,1,0.94,18,17
327000,1,0.94,18,17
328000,1,0.94,18,17
329000,1,0.94,18,17
330000,1,0.94,18,17
331000,1,0.94,18,17
332000,1,0.94,18,17
333000,1,0.94,18,17
334000,1,0.94,18,17
335000,1,0.94,18,17
336000,1,0.94,18,17
337000,1,0.94,18,17
338000,1,0.94,18,17
339000,1,0.94,18,17
340000,1,0.94,18,17
341000,1,0.94,18,17
342000,1,0.94,18,17
343000,1,0.94,18,17
344000,1,0.94,18,17
345000,1,0.94,18,17
346000,1,0.94,18,17
347000,1,0.94,18,17
348000,1,0.94,18,17
349000,1,0.94,18,17
350000,1,0.94,18,17
351000,1,0.94,18,17
352000,1,0.94,18,17
353000,1,0.94,18,17
354000,1,0.94,18,17
355000,1,0.94,18,17
356000,1,0.94,18,17
357000,1,0.94,18,17
358000,1,0.94,18,17
359000,1,0.94,18,17
360000,1,0.94,18,17
361000,1,0.94,18,17
362000,1,0.94,18,17
363000,1,0.94,18,17
364000,1,0.94,18,17
365000,1,0.94,18,17
366000,1,0.94,18,17
367000,1,0.94,18,17
368000,1,0.94,18,17
369000,1,0.94,18,17
370000,1,0.94,18,17
371000,1,0.94,18,17
372000,1,0.94,18,17
373000,1,0.94,18,17
374000,1,0.94,18,17
375000,1,0.94,18,17
376000,1,0.94,18,17
377000,1,0.94,18,17
378000,1,0.94,18,17
379000,1,0.94,18,17
380000,1,0.94,18,17
381000,1,0.94,18,17
382000,1,0.94,18,17
383000,1,0.94,18,17
384000,1,0.94,18,17
385000,1,0.94,18,17
386000,1,0.94,18,17
387000,1,0.94,18,17
388000,1,0.94,18,17
389000,1,0.94,18,17
390000,1,0.94,18,17
391000,1,0.94,18,17
392000,1,0.94,18,17
393000,1,0.94,18,17
394000,1,0.94,18,17
395000,1,0.94,18,17
396000,1,0.94,18,17
397000,1,0.94,18,17
398000,1,0.94,18,17
399000,1,0.94,18,17
400000,1,0.94,18,17
401000,1,0.94,18,17
402000,1,0.94,18,17
403000,1,0.94,18,17
404000,1,0.94,18,17
405000,1,0.94,18,17
406000,1,0.94,18,17
407000,1,0.94,18,17
408000,1,0.94,18,17
409000,1,0.94,18,17
410000,1,0.94,18,17
411000,1,0.94,18,17
412000,1,0.94,18,17
413000,1,0.94,18,17
414000,1,0.94,18,17
415000,1,0.94,18,17
416000,1,0.94,18,17
417000,1,0.94,18,17
418000,1,0.94,18,17
419000,1,0.94,18,17
420000,1,0.94,18,17
421000,1,0.94,18,17
422000,1,0.94,18,17
423000,1,0.94,18,17
424000,1,0.94,18,17
425000,1,0.94,18,17
426000,1,0.94,18,17
427000,1,0.94,18,17
428000,1,0.94,18,17
429000,1,0.94,18,17
430000,1,0.94,18,17
431000,1,0.94,18,17
432000,1,0.94,18,17
433000,1,0.94,18,17
434000,1,0.94,18,17
435000,1,0.94,18,17
436000,1,0.94,18,17
437000,1,0.94,18,17
438000,1,0.94,18,17
439000,1,0.94,18,17
440000,1,0.94,18,17
441000,1,0.94,18,17
442000,1,0.94,18,17
443000,1,0.94,18,17
444000,1,0.94,18,17
445000,1,0.94,18,17
446000,1,0.94,18,17
447000,1,0.94,18,17
448000,1,0.94,18,17
449000,1,0.94,18,17
450000,1,0.94,18,17
451000,1,0.94,18,17
452000,1,0.94,18,17
453000,1,0.94,18,17
454000,1,0.94,18,17
455000,1,0.94,18,17
456000,1,0.94,18,17
457000,1,1.00,18,18
458000,1,1.00,18,18
459000,1,1.00,18,18
460000,1,1.00,18,18
461000,1,1.00,18,18
462000,1,1.00,18,18
463000,1,1.00,18,18
464000,1,1.00,18,18
465000,1,1.00,18,18
466000,1,1.00,18,18
467000,1,1.00,18,18
468000,1,1.00,18,18
469000,1,1.00,18,18
470000,1,1.00,18,18
471000,1,1.00,18,18
472000,1,1.00,18,18
473000,1,1.00,18,18
474000,1,1.00,18,18
475000,1,1.00,18,18
476000,1,1.00,18,18
477000,1,1.00,18,18
478000,1,1.00,18,18
479000,1,1.00,18,18
480000,1,1.00,18,18
481000,1,1.00,18,18
482000,1,1.00,18,18
483000,1,1.00,18,18
484000,1,1.00,18,18
485000,1,1.00,18,18
486000,1,1.00,18,18
487000,1,1.00,18,18
488000,1,1.00,18,18
489000,1,1.00,18,18
490000,1,1.00,18,18
491000,1,1.00,18,18
492000,1,1.00,18,18
493000,1,1.00,18,18
494000,1,1.00,18,18
495000,1,1.00,18,18
496000,1,1.00,18,18
497000,1,1.00,18,18
498000,1,1.00,18,18
499000,1,1.00,18,18
500000,1,1.00,18,18
501000,1,1.00,18,18
502000,1,1.00,18,18
503000,1,1.00,18,18
504000,1,1.00,18,18
505000,1,1.00,18,18
506000,1,1.00,18,18
507000,1,1.00,18,18
508000,1,1.00,18,18
509000,1,1.00,18,18
510000,1,1.00,18,18
511000,1,1.00,18,18
512000,1,1.00,18,18
513000,1,1.00,18,18
514000,1,1.00,18,18
515000,1,1.00,18,18
516000,1,1.00,18,18
517000,1,1.00,18,18
518000,1,1.00,18,18
519000,1,1.00,18,18
520000,1,1.00,18,18
521000,1,1.00,18,18
522000,1,1.00,18,18
523000,1,1.00,18,18
524000,1,1.00,18,18
525000,1,1.00,18,18
526000,1,1.00,18,18
527000,1,1.00,18,18
528000,1,1.00,18,18
529000,1,1.00,18,18
530000,1,1.00,18,18
531000,1,1.00,18,18
532000,1,1.00,18,18
533000,1,1.00,18,18
534000,1,1.00,18,18
535000,1,1.00,18,18
536000,1,1.00,18,18
537000,1,1.00,18,18
538000,1,1.00,18,18
539000,1,1.00,18,18
540000,1,1.00,18,18
541000,1,1.00,18,18
542000,1,1.00,18,18
543000,1,1.00,18,18
544000,1,1.00,18,18
545000,1,1.00,18,18
546000,1,1.00,18,18
547000,1,1.00,18,18
548000,1,1.00,18,18
549000,1,1.00,18,18
550000,1,1.00,18,18
551000,1,1.00,18,18
552000,1,1.00,18,18
553000,1,1.00,18,18
554000,1,1.00,18,18
555000,1,1.00,18,18
556000,1,1.00,18,18
557000,1,1.00,18,18
558000,1,1.00,18,18
559000,1,1.00,18,18
560000,1,1.00,18,18
561000,1,1.00,18,18
562000,1,1.00,18,18
563000,1,1.00,18,18
564000,1,1.00,18,18
565000,1,1.00,18,18
566000,1,1.00,18,18
567000,1,1.00,18,18
568000,1,1.00,18,18
569000,1,1.00,18,18
570000,1,1.00,18,18
571000,1,1.00,18,18
572000,1,1.00,18,18
573000,1,1.00,18,18
574000,1,1.00,18,18
575000,1,1.00,18,18
576000,1,1.00,18,18
577000,1,1.00,18,18
578000,1,1.00,18,18
579000,1,1.00,18,18
580000,1,1.00,18,18
581000,1,1.00,18,18
582000,1,1.00,18,18
583000,1,1.00,18,18
584000,1,1.00,18,18
585000,1,1.00,18,18
586000,1,1.00,18,18
587000,1,1.00,18,18
588000,1,1.00,18,18
589000,1,1.00,18,18
590000,1,1.00,18,18
591000,1,1.00,18,18
592000,1,1.00,18,18
593000,1,1.00,18,18
594000,1,1.00,18,18
595000,1,1.00,18,18
596000,1,1.00,18,18
597000,1,1.00,18,18
598000,1,1.00,18,18
599000,1,1.00,18,18
600000,1,1.00,18,18
